,F1 Macro (mean),F1 Macro (std),F1 Declined (mean),PR-AUC (mean),ROC-AUC (mean)
v1: Logistic Regression,0.5188,0.0191,0.3033,0.8942,0.6241
v1: LightGBM (Default),0.5657,0.0304,0.28,0.8837,0.6216
v1: LightGBM (Tuned),0.5526,0.052,0.2102,0.8811,0.6113
v1: XGBoost,0.5531,0.0201,0.2053,0.8896,0.6265
v2: LR + Emb,0.564,0.018,0.353,0.9106,0.6868
v2: LGB + Emb (Default),0.5954,0.0157,0.2942,0.9007,0.6641
v2: LGB + Emb + SMOTE,0.5792,0.0139,0.255,0.902,0.6718
v2: LGB + Emb (Tuned v2),0.5829,0.0161,0.2634,0.9013,0.6624
v2: XGB + Emb,0.5785,0.0198,0.2502,0.9046,0.674
